Time_s,K_1,K_2,K_3
0.0,0.34994252192725556,0.34994252192725556,0.34994252192725556
0.1,0.3394049843069884,0.3394049843069884,0.3394049843069884
0.2,0.23940527250631716,0.23940527250631716,0.23940527250631716
0.3,0.21724709411129503,0.21724709411129503,0.21724709411129503
0.4,0.3172454035458019,0.3172454035458019,0.3172454035458019
0.5,0.24075234966467912,0.24075234966467912,0.24075234966467912
0.6,0.3172454035458381,0.3172454035458381,0.3172454035458381
0.7,0.21724709411120743,0.21724709411120743,0.21724709411120743
0.8,0.23940527250643626,0.23940527250643626,0.23940527250643626
0.9,0.3394049843068405,0.3394049843068405,0.3394049843068405
1.0,0.34994252192739556,0.34994252192739556,0.34994252192739556
1.1,0.29513015153829114,0.29513015153829114,0.29513015153829114
1.2,0.254484554280204,0.254484554280204,0.254484554280204
1.3,0.22517058311435914,0.22517058311435914,0.22517058311435914
1.4,0.32516763320213254,0.32516763320213254,0.32516763320213254
1.5,0.2251688231014931,0.2251688231014931,0.2251688231014931
1.6,0.325167633202073,0.325167633202073,0.325167633202073
1.7,0.2251705831144581,0.2251705831144581,0.2251705831144581
1.8,0.2544845542800432,0.2544845542800432,0.2544845542800432
1.9,0.29513015153853384,0.29513015153853384,0.29513015153853384
