Time_s,K_1,K_2,K_3
0.0,0.04055065878079072,0.11429141348066381,0.09630830851831661
0.125,0.04089622487839158,0.017694692332901656,0.014746471851526532
0.25,0.03870953069330199,0.016865424581522386,0.016309638208311675
0.375,0.032518860605578466,0.02252363367877501,0.012397010259034327
0.5,0.18261906330271374,1.1931328930812668e-05,0.015206453957437747
0.625,0.11010433063001789,0.21139162490312535,0.009891754544292029
0.75,1.2404709054063084e-05,0.3498689313432002,0.34973678981443407
0.875,0.3499981703779265,0.3499284415829871,0.1417472721289484
1.0,0.34981489571163865,0.3487704790449244,0.3498908060611743
1.125,0.3499981703779265,0.3499284415829871,0.1417472721289484
1.25,1.2404709054063084e-05,0.3498689313432002,0.34973678981443407
1.375,0.11010433063001789,0.21139162490312535,0.009891754544292029
1.5,0.18261906330271374,1.1931328930812668e-05,0.015206453957437747
1.625,0.032518860605578466,0.02252363367877501,0.012397010259034327
1.75,0.03870953069330199,0.01686542458152239,0.016309638208311675
1.875,0.04089622487839158,0.017694692332901656,0.014746471851526532
2.0,0.04055065878079072,0.11429141348066381,0.09630830851831661
2.125,0.002332069291053501,1.2567707463868504e-05,0.05753563112677424
2.25,0.030074897528653936,0.3498761073225732,0.008011282506546692
2.375,0.016224139283934663,0.008595220201180191,0.01095805560030084
2.5,0.052854319676114,0.02149800192256171,0.12596715424442106
2.625,1.3136586158344045e-05,0.3499074069388358,1.2731391694762881e-05
2.75,0.3499995205149117,0.3499491830989237,0.17832070525272867
2.875,0.3499302313286333,0.34997016918439267,0.34805772392326434
3.0,0.3496930675475587,0.34993095449975087,0.3498240163862029
3.125,0.3499302313286333,0.34997016918439267,0.34805772392326434
3.25,0.3499995205149117,0.3499491830989237,0.17832070525272867
3.375,1.3136586158344045e-05,0.3499074069388358,1.2731391694762881e-05
3.5,0.052854319676114,0.02149800192256171,0.12596715424442106
3.625,0.016224139283934663,0.008595220201180193,0.01095805560030084
3.75,0.030074897528653936,0.3498761073225732,0.008011282506546692
3.875,0.002332069291053501,1.2567707463868504e-05,0.05753563112677424
