Time_s,K_1,K_2,K_3
0.0,0.05022356453381739,0.05022356453381739,0.05022356453381739
0.125,0.02300984050084805,0.02300984050084805,0.02300984050084805
0.25,0.029119325177657456,0.029119325177657456,0.029119325177657456
0.375,0.017927748425175527,0.017927748425175527,0.017927748425175527
0.5,0.044021313716184424,0.044021313716184424,0.044021313716184424
0.625,0.013912490637102197,0.013912490637102197,0.013912490637102197
0.75,0.34999856768939863,0.34999856768939863,0.34999856768939863
0.875,0.3499193440213744,0.3499193440213744,0.3499193440213744
1.0,0.34991105811861406,0.34991105811861406,0.34991105811861406
1.125,0.3499193440213744,0.3499193440213744,0.3499193440213744
1.25,0.34999856768939863,0.34999856768939863,0.34999856768939863
1.375,0.013912490637102197,0.013912490637102197,0.013912490637102197
1.5,0.044021313716184424,0.044021313716184424,0.044021313716184424
1.625,0.017927748425175527,0.017927748425175527,0.017927748425175527
1.75,0.029119325177657456,0.029119325177657456,0.029119325177657456
1.875,0.02300984050084805,0.02300984050084805,0.02300984050084805
2.0,0.05022356453381739,0.05022356453381739,0.05022356453381739
2.125,0.014489597881678274,0.014489597881678274,0.014489597881678274
2.25,0.04131116768361602,0.04131116768361602,0.04131116768361602
2.375,0.01613611827217795,0.01613611827217795,0.01613611827217795
2.5,0.0682355457289538,0.0682355457289538,0.0682355457289538
2.625,0.018371602124671094,0.018371602124671094,0.018371602124671094
2.75,0.3499828307299093,0.3499828307299093,0.3499828307299093
2.875,0.34998216907366847,0.34998216907366847,0.34998216907366847
3.0,0.3499850990467555,0.3499850990467555,0.3499850990467555
3.125,0.34998216907366847,0.34998216907366847,0.34998216907366847
3.25,0.3499828307299093,0.3499828307299093,0.3499828307299093
3.375,0.018371602124671094,0.018371602124671094,0.018371602124671094
3.5,0.0682355457289538,0.0682355457289538,0.0682355457289538
3.625,0.01613611827217795,0.01613611827217795,0.01613611827217795
3.75,0.04131116768361602,0.04131116768361602,0.04131116768361602
3.875,0.014489597881678274,0.014489597881678274,0.014489597881678274
