Time_s,K_1,K_2,K_3
0,1.57892647490238e-05,0.0959192745095086,0.0829245553197083
0.4,0.0686860229657536,0.103968309131806,0.00689415011043788
0.8,0.0997448391097734,0.00468352056671657,0.106830988758047
1.2,1.93880844040014e-05,0.000603363439766402,0.110666633118612
1.6,0.0281151893870089,0.0998589246866366,0.021055638741051
2,0.0605625902323867,1.34664931039659e-05,1.0636506024751e-05
2.4,0.0281151893870089,0.0998589246866366,0.021055638741051
2.8,1.93880844040014e-05,0.000603363439766402,0.110666633118612
3.2,0.0997448391097734,0.00468352056671657,0.106830988758047
3.6,0.0686860229657536,0.103968309131806,0.00689415011043788
4,1.57892647490238e-05,0.0959192745095086,0.0829245553197083
4.4,0.084710096221639,1.05173150660059e-05,0.034503928603719
4.8,0.184206619392506,0.0441838308769646,0.090309219257267
5.2,0.0842731767707293,0.144165019650702,0.0728451844489837
5.6,0.0125763261252688,0.0443605757169366,5.71681895374818e-05
6,0.0565754182150232,0.0135533821709223,0.00318065011466009
6.4,0.0125763261252688,0.0443605757169366,5.71681895374818e-05
6.8,0.0842731767707293,0.144165019650702,0.0728451844489837
7.2,0.184206619392506,0.0441838308769646,0.090309219257267
7.6,0.084710096221639,1.05173150660059e-05,0.034503928603719
