Time_s,K_1,K_2,K_3
0,0.092907736485921,0.10691110005272,0.0117094382761565
0.2,0.149613564718719,0.259980474555996,0.00860246819553306
0.4,0.0462373845113092,0.292268057089543,0.00745721128451525
0.6,0.092479872675577,0.0990505065201514,0.0111186393193512
0.8,0.139722237891199,0.296087526760996,0.0125047566772334
1,0.0349988027384518,0.219376508991382,2.29767340691163e-05
1.2,0.1397222374928,0.296087526715804,0.0125047565192191
1.4,0.09247987363508,0.0990505064011073,0.0111186391252674
1.6,0.0462373833677625,0.292268057140785,0.00745721208670894
1.8,0.14961356611749,0.259980474564095,0.00860246742081041
2,0.0929077350896056,0.10691110012187,0.011709439028255
2.2,0.102123866050185,0.306907676705224,0.0381317264928521
2.4,0.00435377687600784,0.10717076093041,0.0444464965641362
2.6,0.128003317150317,0.231534769851455,0.0214962165261806
2.8,0.168002892642677,0.0325916937392359,0.00397151752905035
3,0.15881840923129,0.0818019389026582,0.00806909677342197
3.2,0.168002893109279,0.0325916935803459,0.00397151755104501
3.4,0.128003316412386,0.231534769863377,0.0214962170086429
3.6,0.00435377784799281,0.107170760943643,0.0444464953028292
3.8,0.102123865107821,0.306907676575181,0.0381317274454475
