Time_s,K_1,K_2,K_3
0,0.349999465101866,0.349992839321607,0.224999505390489
0.04,0.304649764078941,0.313107287885283,0.0750235562897962
0.08,0.349997213069864,0.34994215296962,0.0386868763696463
0.12,0.349999264462657,0.15000541244151,0.0253183554953364
0.16,0.349990794515443,0.349997061310824,0.0767789360107713
0.2,0.349999719999592,0.25322112731991,0.100052463678476
0.24,0.349990794514056,0.349997061310424,0.0767789360124349
0.28,0.349999264463547,0.150005412441952,0.0253183554931544
0.32,0.349997213067515,0.349942152971009,0.0386868763673488
0.36,0.304649764076993,0.313107287886753,0.0750235562891847
0.4,0.349999465101239,0.349992839322247,0.22499950539056
0.44,0.349999604202686,0.34999966627846,0.0911967708389571
0.48,0.150001221190624,0.149999720775134,0.0211339638513145
0.52,0.349998348303107,0.349975136102356,0.0117178429035239
0.56,0.349999661035411,0.299848457562764,0.0845199280420879
0.6,0.349999774936619,0.349998295289881,0.0778866942967706
0.64,0.349999661034651,0.299848457561578,0.0845199280431458
0.68,0.349998348302987,0.349975136101032,0.0117178429033307
0.72,0.150001221190438,0.149999720777808,0.0211339638507117
0.76,0.349999604201986,0.349999666275893,0.0911967708406662
